,Category,Post 1,Post 2
399,specific details,None,Specific details about suicidal thoughts and physical sensations
400,tone,"Anxious, worried, and accusatory","Sad, lonely, and desperate"
401,subject,Being accused of something without knowing the details,Difficulty forming new relationships and friendships
402,emotional state,"Frustrated, confused, and uncertain","Lonely, demotivated, and uncertain"
403,reason for difficulty,Lack of information and a friend's potential betrayal,"Introversion, social anxiety, and difficulty finding like-minded people"
404,desired outcome,To know the truth and resolve the situation,To form meaningful relationships and connections with others
405,self-perception,Self-doubting and uncertain about their actions,Self-aware and accepting of their introversion and preferences
406,language and style,"Informal, with some profanity and emotional language","Informal, with some profanity and emotional language, but also more introspective and self-aware"
407,tone,Depressed and self-critical,Concerned and suspicious
408,content,Personal struggles with depression and self-doubt,Suspicious encounter with a potential child kidnapper
409,purpose,Catharsis and self-expression,Warning or alerting others
410,language,Informal and conversational,Formal and descriptive
411,emotional intensity,High (self-criticism and sadness),High (concern and anxiety)
412,specific details,"Lying, feeling haunted, and self-doubt","Suspicious behavior, child's appearance, and the man's voice"
413,tone,Casual and inviting,Concerned and seeking help
414,purpose,Inviting others to join a trip,Seeking advice and understanding about a personal issue
415,content,Travel plans,Mental health concerns and symptoms
416,language,Informal and casual,Formal and seeking help
417,emotional tone,Positive and inviting,Concerned and anxious
418,length,Short,Longer and more detailed
419,age,20 year-old,
420,tone,Desperate,Reflective
421,content,Lack of life,Anxiety about increased responsibility
422,specificity,Vague,Specific
423,request for advice,No,Yes
424,request for validation,Yes,Yes
425,professional context,No,Yes
426,length,Short,Long
427,specific examples,No,Yes
428,politeness,No,Yes
429,tone,"The tone of Post 1 is melancholic, emotional, and honest, with a sense of desperation and vulnerability.","The tone of Post 2 is inquiring, uncertain, and somewhat anxious, with a sense of self-doubt."
430,length,"Post 1 is a long, detailed, and narrative-driven post that shares a personal story.","Post 2 is a short, concise, and question-driven post that seeks clarification."
431,content,"Post 1 shares a personal story of trauma, loss, and emotional struggle, including a difficult childhood, a painful divorce, and multiple failed relationships.",Post 2 asks about the possibility of anxiety being the cause of social difficulties and feelings of being misunderstood.
432,language,"Post 1 uses informal language, with some grammatical errors and colloquial expressions.",Post 2 uses standard English with proper grammar and spelling.
433,purpose,The purpose of Post 1 is to share a personal story and seek understanding and connection.,The purpose of Post 2 is to seek clarification and understanding about a specific issue.
434,emotional intensity,"Post 1 is emotionally intense, with a sense of desperation and vulnerability.","Post 2 is less emotionally intense, with a sense of uncertainty and self-doubt."
435,self-awareness,"Post 1 shows a high level of self-awareness, with the author acknowledging their emotional struggles and seeking help.","Post 2 shows a moderate level of self-awareness, with the author acknowledging their social difficulties and seeking clarification."
436,specificity,"Post 1 is highly specific, with detailed descriptions of personal experiences and emotions.","Post 2 is less specific, with a more general question about anxiety and social difficulties."
437,personal growth,"Post 1 suggests a desire for personal growth and healing, with the author seeking help and connection.","Post 2 does not explicitly suggest a desire for personal growth, but rather a desire for understanding and clarification."
438,mental health issues,"Mentioned suicidal thoughts, self-harm, substance abuse, and feelings of being a burden to others.","Mentioned suicidal thoughts, feelings of worthlessness, loneliness, and social isolation, as well as substance abuse and self-harm."
439,reasons for suicidal thoughts,"Financial struggles, academic pressure, and past abuse.","Feeling like a social outcast, lack of meaningful relationships, and feeling like a burden to others."
440,methods of coping,"Substance abuse, self-harm, and exercise.","Substance abuse, self-harm, and escapism through video games."
441,relationships,"Difficulty talking to friends, feeling like a burden to family members.","Difficulty forming and maintaining relationships, feeling like a burden to family members, and feeling like an outcast."
442,self-perception,"Feels like a burden, struggles with self-worth.","Feels worthless, like a waste of space, and struggles with self-worth."
443,future goals,"Wants a bright future, wants to overcome current struggles.","Wants to meet someone and fall in love, wants to feel loved and valued."
444,mental health,"Describes a history of depression, antidepressant use, and experimentation with illicit substances to cope with symptoms, expressing frustration with prescribed medication and seeking alternative solutions.","Expresses feelings of hopelessness, loneliness, and despair after a breakup, with a sense of being pointless and struggling to cope with daily life."
445,age and relationship status,"33F, single, living alone, and in a long-distance relationship","No age mentioned, in a past relationship, currently alone"
446,work and productivity,"Works in a busy medical environment, reports increased motivation and productivity while using illicit substances","Works, but feels pointless and struggles to cope with daily life"
447,substance use,"Describes experimentation with various antidepressants and illicit substances, including meth, LSD, and Dex, to cope with depression",No mention of substance use
448,tone and language,"Expresses frustration, self-blame, and a sense of being trapped in a cycle of depression and medication","Expresses feelings of hopelessness, despair, and a sense of being pointless"
449,seeking help,Seeks advice on how to discuss illicit substance use with a psychiatrist and find alternative solutions to cope with depression,No mention of seeking help or advice
450,tone,Anxious and apprehensive,Desperate and frustrated
451,reason for concern,Social anxiety,Work-related dissatisfaction and burnout
452,mental state,Anxious about social interactions,Feeling hopeless and overwhelmed
453,language used,Cautious and hesitant,Emotive and intense
454,request for help,None,Implicit (throwaway account for obvious reasons)
455,suicidal thoughts,No,"Present, but clarified as not suicidal"
456,confidence level,Not mentioned,Low
457,job satisfaction,Not mentioned,Very low
458,future plans,Going out with friends,Returning to work
459,emotional state,Love,Depression
460,relationship status,Unrequited love,Loneliness
461,tone,Romantic,Sad and Desperate
462,self-perception,Idealized,Insecure
463,social comparison,None,Comparing to others
464,language,Poetic,Raw and honest
465,tone,"Negative, melancholic, and somewhat hopeless","Desperate, emotional, and seeking help"
466,language,"Informal, conversational, and somewhat rambling","Direct, emotional, and seeking assistance"
467,purpose,Reflecting on past experiences and current life,Seeking a solution to emotional pain
468,specifics,Mentions specific life events and feelings of inadequacy,Asks for a way to feel numb and avoid emotional pain
469,emotional state,"Feels hopeless, unfulfilled, and regretful","Feels overwhelmed, emotional, and desperate"
470,emotional state,Sadness/Heartbreak,Frustration/Indecisiveness
471,tone,Negative,Self-deprecating/Reflective
472,content,Romantic Relationship,Personal Struggle/Procrastination
473,language,Simple/Concise,Longer/More Descriptive
474,purpose,Expression of Emotion,Self-Reflection/Questioning
475,mental health,Girlfriend cheated on me and mentally abused me and now all I can think about is ending it,Good Options When Bipolar Makes it Hard to Work?
476,age,16 and a junior in high school,No mention of age
477,relationship status,In a relationship with an abusive partner,No mention of a relationship
478,mental health conditions,Terrible social anxiety and self-esteem issues,Bipolar and anxiety
479,work status,No mention of work,Struggling to find work due to bipolar and anxiety
480,tone,Desperate and suicidal,Seeking advice and help
481,request,Asks for help to not end it with pills,Asks for work-from-home opportunities
482,mention of medication,"Mentions Xanax, Seroquel, and Oxycottin",Mentions medication for bipolar
483,tone,Sad,Angry and Desperate
484,content,Personal preference about cat behavior,"Personal struggles with health, prison time, and pain management"
485,language,Polite and informal,Profane and aggressive
486,purpose,Expressing a feeling,Seeking a solution to end one's life
487,urgency,Low,High
488,request for help,No,Yes
489,tone,Positive and anxious,Negative and dismissive
490,content,Discussing a medical appointment and medication,Expressing apathy
491,language,Informal and conversational,Informal and colloquial
492,purpose,Seeking support and sharing personal experience,Expressing a sentiment or attitude
493,emotional tone,Anxious and hopeful,Apathetic
494,length,Longer and more detailed,Short and concise
495,tone,Anxious and uncertain,Desperate and suicidal
496,reason for concern,Fear of being judged for not being close to the deceased and navigating family dynamics,Struggling with anxiety disorder and feeling like a burden to family
497,emotional state,Anxious about attending a funeral and interacting with family,Overwhelmed by anxiety and suicidal thoughts
498,relationship with the deceased,Not close to the deceased,No mention of the deceased
499,request for help,Asking for advice on how to navigate the situation,Expressing a desire to die due to feeling like a burden
500,mental health,No mention of mental health issues,Struggling with anxiety disorder and suicidal thoughts
501,tone,Positive and hopeful,Negative and frustrated
502,topic,Movie review and personal reflection,Mental health care and insurance
503,purpose,Sharing a personal experience,Seeking advice and information
504,length,Short,Long
505,specific details,None,"Specific details about insurance, medication, and mental health"
506,request for help,No,Yes
507,emotional state,Hopeful,Frustrated and anxious
508,tone,"Negative, emotional, and somewhat suicidal","Reflective, uncertain, and slightly positive"
509,content,"Mentions suicidal thoughts, feeling of loneliness, and dissatisfaction with life",Discusses uncertainty and its impact on mental state
510,language,Includes profanity and strong language,Formal and neutral language
511,age,Mentions being in high school,No mention of age
512,purpose,Appears to be a cry for help or a release of emotions,Seems to be a reflection and a moment of self-awareness
513,specifics,"Mentions feeling of competition and ego, and the desire to escape life's problems",Mentions uncertainty and the 'all roads lead to ruin' mentality
514,topic,Mental Health/Restlessness,Atheism/Personal Beliefs
515,tone,Seeking advice/help,Reflective/Emotional
516,length,Short,Long
517,language,Informal,Informal/Emotional
518,purpose,Seeking advice,Sharing personal thoughts/emotions
519,specificity,Specific (medication and symptoms),General (personal beliefs)
520,tone,Informative and somewhat casual,Negative and vague
521,specificity,Specific about energy drinks and symptoms,Vague about symptoms
522,language,Includes strong language (e.g. 'bullshit'),Includes strong language (e.g. 'shit')
523,purpose,Seeking advice or validation,Expressing negative emotions
524,mental health discussion,Discusses self-medication with energy drinks for depression,Mentions feeling 'shit' but does not explicitly discuss mental health
525,emotional state,"feeling isolated, pain, depression, and anxiety about being discovered","depression, feeling hopeless, and suicidal thoughts"
526,relationships,difficulty reciprocating love and rejecting people,difficulty forming meaningful relationships due to addiction and depression
527,substance abuse,no mention of substance abuse,history of crystal meth and cocaine use
528,motivation,fear of being discovered and judged,feeling trapped in a cycle of addiction and seeking help
529,tone,melancholic and introspective,desperate and suicidal
530,purpose,seeking connection and understanding,seeking help and a way out of addiction
531,language,formal and introspective,informal and conversational
532,specifics,difficulty looking into people's eyes,"history of substance abuse, depression, and suicidal thoughts"
533,tone,"Angry, bitter, and rebellious","Sad, anxious, and self-blaming"
534,reason for lack of motivation,Dislike of societal expectations and pressure to conform,Breakup and feelings of guilt and responsibility for partner's depression
535,mention of suicide,Mentioned as a possible solution to escape societal expectations,Mentioned as a recurring thought due to depression and anxiety
536,language and vocabulary,"Includes strong language and profanity, and a sense of defiance",Includes more introspective and emotional language
537,purpose of the post,A rant and expression of frustration with societal expectations,A cry for help and expression of emotional pain
538,age and maturity,Written by a 16-year-old who claims to be aware of their own thoughts and feelings,"No age mentioned, but the language and tone suggest a younger adult"
539,request for help,"No explicit request for help, but a statement of not wanting sympathy",Implicit request for help and support
540,tone,Impulsive/Emotional,Honest/Desperate
541,length,Short,Long
542,specificity,Vague,Specific
543,emotional expression,Present,Present
544,request for help,Implicit,Implicit
545,self-description,None,Present
546,specific details,None,Present
547,emotional state,"frustrated, anxious, worried, angry, hate","anxious, stressed, shy, freaked out"
548,reason for emotional state,"home situation, rent prices, living with family member's boyfriend and his son, son's behavior","talking to elderly people, shyness, fear of not being understood"
549,specific issues,"son's criminal record, probation, guns, drugs, noise, breaking into neighbor's yard","difficulty communicating with elderly people, fear of not making a good impression"
550,desired outcome,"moving out, getting away from the situation, protecting mom","overcoming anxiety, making a good impression, feeling more confident"
551,tone,"angry, frustrated, desperate","anxious, uncertain, seeking reassurance"
552,relationships,"family member's boyfriend and his son, neighbors","boyfriend's family, particularly his dad"
553,location,"specific city, apartment complex",no specific location mentioned
554,mental health,"Expresses feelings of sadness, frustration, and self-doubt, but does not mention suicidal thoughts.","Expresses suicidal thoughts, feelings of worthlessness, and a negative self-image, indicating a higher risk of mental health crisis."
555,relationship,"Feels pressured to pretend to be happy for her boyfriend's sake, but does not mention any issues in the relationship.",Feels guilty for not being able to provide for his girlfriend and is concerned about affecting her negatively.
556,tone,"Tone is melancholic and self-critical, but not desperate or hopeless.","Tone is desperate, hopeless, and suicidal."
557,language,"Uses phrases like 'I hate my life', 'I hate myself', and 'I'm a shitty girlfriend', but does not use explicit suicidal language.","Uses explicit suicidal language, such as 'I just want to be around someone who's not happy/bubbly/positive' is not present, but 'I find myself thinking about killing myself on a regular basis' is present."
558,purpose,Seeks to 'pull it together' for her boyfriend's sake.,Seeks help and support to cope with suicidal thoughts and feelings of worthlessness.
559,self-awareness,Acknowledges her feelings but does not recognize the severity of her mental health issues.,Recognizes the severity of his mental health issues and the impact on his relationships and daily life.
560,tone,Seeking help and advice,Desperate and suicidal
561,content,Nail biting and self-harm,Suicide and depression
562,language,Polite and seeking help,Abrupt and alarming
563,purpose,Seeking advice to stop a habit,Expressing distress and possibly seeking help
564,emotional state,Frustrated and in pain,Desperate and suicidal
565,tone,Angry and desperate,Neutral and informative
566,content,Personal struggles and relationship issues,Sharing a personal experience and asking for input
567,language,Includes profanity and informal language,Formal and professional language
568,purpose,Seeking emotional support and venting,Sharing a personal experience and seeking validation
569,structure,Unstructured and narrative,Structured and includes links to external content
570,emotional state,Depressed and anxious,Reflective and neutral
571,emotional tone,"Sad, Resentful, Determined","Angry, Hurt, Longing"
572,relationship type,Family (Grandparents),Romantic Partner
573,reason for conflict,"Abuse, Manipulation, Expectations","Breakup, Unfulfilled Expectations, Unresolved Emotions"
574,goals,"Independence, Forgiveness, Moving On","Closure, Friendship, Shared Experiences"
575,tone towards the other person,"Resentful, Frustrated","Angry, Hurt, Longing"
576,self-description,"Strong, Independent, Determined","Hurt, Vulnerable, Changed"
577,request,No specific request,"To be left alone, to have closure"
578,emotional state,"lonely, anxious, scared, feeling like an idiot, lost self-confidence","frustrated, unable to access account"
579,reason for posting,seeking friendship and human connection,trying to recover a lost online account
580,tone,"desperate, emotional, pleading","frustrated, annoyed"
581,language used,"profanity, informal language","colloquial language, but less profanity"
582,specific request,"asking for someone to talk to, meet up, or hang out",asking for help recovering a lost account
583,mental health indication,"possible signs of depression, social anxiety",none apparent
584,motivation and productivity,"I know what I need to do to make myself happy and make me a better person, but I have no motivation to do it - I need to start working out, - Eat healthy, Start studying, Fix my sleeping schedule, Be more social, Make time for hobbies",
585,mental health,,"For anyone not on meds, has depression killed your sex drive? Trying to figure out if I am depressed or not.."
586,personal growth,"I know exactly what I need to do to change, but I'm just sitting here wasting my youth",
587,lifestyle,I just go home and listen to music and sit on the computer all day,
588,self-awareness,I know what I need to do to make myself happy and make me a better person,Trying to figure out if I am depressed or not..
589,regret,I'm just sitting here wasting my youth,
590,tone,"Melancholic, introspective, and somewhat desperate","Hesitant, uncertain, and hopeful"
591,subject,The author's desire to escape their waking life through dreams,The author's desire to get a dog
592,language,"Poetic, metaphorical, and somewhat abstract","Conversational, straightforward, and practical"
593,emotional state,"Sadness, frustration, and a sense of disconnection","Uncertainty, longing, and a desire for companionship"
594,purpose,The author seeks to escape their current life and find freedom in dreams,The author seeks to convince their parents to get a dog
595,level of urgency,"High, with a sense of desperation and longing","Moderate, with a sense of hope and anticipation"
596,life situation,The author is unhappy with their current life and feels disconnected from others,The author is currently living with their parents and is planning to move out
597,request for help,"Implicit, with the author seeking a way to escape their current life","Explicit, with the author seeking advice on how to convince their parents to get a dog"
598,tone,Angry and defensive,Anxious and vulnerable
599,purpose,To express frustration and defend oneself,To express anxiety and seek help or vent
600,content,Short and focused on a specific issue,"Long and detailed, covering multiple issues and emotions"
601,language,Direct and assertive,Reflective and self-deprecating
602,emotional expression,Emotional but controlled,Emotional and raw
603,self-awareness,Limited self-awareness,High self-awareness and introspection
604,specificity,Specific issue (energy levels),"Multiple issues (anxiety, fear, uncertainty, lack of experience)"
605,apology,No apology,Multiple apologies for taking up space and for being a 'big baby'
606,length,Short (1 sentence),Long (multiple paragraphs)
607,specific details,No specific details,"Multiple specific details (e.g. graduation, job search, anxiety, panic attack)"
608,tone,Anxious and insecure,Self-deprecating and remorseful
609,reason for feeling,Girlfriend's social activities,Personal mistakes and perceived worthiness
610,language used,Passive and indirect,Direct and self-critical
611,emotional state,Depressed and anxious,Depressed and self-loathing
612,self-perception,Insecure about relationship,Self-perceived as a 'piece of shit'
613,mental health,"Mentioned missing work, lack of motivation, and considering self-harm",Mentioned an appointment with a mental health center and being terrified
614,work,Mentioned missing work and feeling responsible for it,No mention of work
615,medication,Mentioned weaning off Latuda,No mention of medication
616,self-harm,Mentioned considering wiping themselves down with baby wipes and calling themselves clean,No mention of self-harm
617,support,Asked for support from others,No mention of seeking support
618,tone,Depressed and hopeless,Anxious and uncertain
619,content,"Daily struggles with depression, feeling trapped, and suicidal thoughts",Concerns about a partner's potential infidelity
620,language,"Uses phrases like 'maddening feeling', 'break down', 'crawl back into bed', and 'ending my existence'","Uses phrases like 'stressed', 'don't have any real reason to be', and 'even though'"
621,purpose,Expressing feelings of desperation and seeking an escape from daily struggles,Seeking reassurance or validation about a personal issue
622,emotional state,Describes a state of hopelessness and despair,Describes a state of anxiety and uncertainty
623,specifics,"Mentions daily routine, thoughts of suicide, and mind-numbing activities",Mentions a specific issue with a partner and a lack of concrete evidence
